EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.576107601820088,0.633675277804233,0.541944098220451,0.606791757160646,0.535323698809087,0.602271257864262
15,0.565849036165852,0.63037507004376,0.542923195612812,0.615152318484186,0.538979773290494,0.612846052045207
25,0.562536200137682,0.628987392075665,0.545135381964914,0.619514705014238,0.537731545901554,0.617744595395193
35,0.556793987254963,0.627119262646421,0.544617481607322,0.624444310006837,0.54129076857624,0.624468438497835
45,0.548382539800015,0.625125038182445,0.541593237900079,0.631575459197184,0.544375356505189,0.63451537758296
55,0.541748567008773,0.622146682085793,0.543791805692745,0.639937707881458,0.545635509692147,0.644923615697888
65,0.532321572402042,0.62012281134024,0.54392398493116,0.648244742540807,0.546251977638916,0.654622589243558
75,0.518971145965493,0.616335843681332,0.542661455481832,0.66146498272638,0.548266855866434,0.673142374831299
85,0.492986321684924,0.602938879751102,0.542005690651649,0.683235871589894,0.556805385060949,0.705743678012808
95,0.432448818650695,0.583845807658396,0.539103073682254,0.735995300491499,0.57418218214642,0.788272128440198
