EmissionDecile,RefWithRecirc,RefWithoutRecirc,IntEEWithRecirc,IntEEWithoutRecirc,OptEEWithRecirc,OptEEWithoutRecirc
5,0.54917654787491,0.621660109625045,0.52736611732666,0.601358139929125,0.506012999208975,0.586288886117035
15,0.545898913630355,0.622526463414867,0.528215871362318,0.610435755143033,0.513570297402299,0.601651682649629
25,0.540753248913698,0.624898205070334,0.522834084962001,0.617791875335759,0.513940658359619,0.610574899482827
35,0.537495276166695,0.624517356338047,0.529242306912985,0.621852803391244,0.517420995629002,0.618413077041118
45,0.532070367648141,0.627066213534423,0.526376475617005,0.630726766648344,0.521972513718849,0.634728073439012
55,0.527825815928577,0.628563592736686,0.525509067674782,0.639967201743199,0.525451704417815,0.648211222648253
65,0.521318326788329,0.630735101029062,0.527676952362296,0.647293810015221,0.532101348280894,0.660745559284546
75,0.512829253022159,0.63270605593916,0.528773727205317,0.663590723540813,0.541562147869137,0.686602515718553
85,0.495472179859533,0.638597595258711,0.530495818248885,0.687416042220946,0.556710365267104,0.730770222150893
95,0.456720604663575,0.65079821481948,0.527692540533579,0.758552245030698,0.590397982511079,0.840986849830921
