EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0422629809036853,0.957737019096315,0.0422698553618324,0.957730144638168,0.0492011680015235,0.950798831998476,0.0494207912454803,0.95057920875452,0.0511969004912355,0.948803099508765,0.051044472843063,0.948955527156937
15,0.0780070796486699,0.92199292035133,0.0778458144197664,0.922154185580234,0.0904822272437625,0.909517772756238,0.0902244898911671,0.909775510108833,0.0932737693210586,0.906726230678941,0.0930975375925461,0.906902462407454
25,0.0986795934521493,0.901320406547851,0.0986650795419197,0.90133492045808,0.114869254622667,0.885130745377332,0.113817521292246,0.886182478707754,0.117676860217117,0.882323139782883,0.117635874801371,0.882364125198629
35,0.117154394704572,0.882845605295428,0.117889609553022,0.882110390446978,0.135985807077626,0.864014192922374,0.136019404252125,0.863980595747875,0.139881290628437,0.860118709371563,0.139197838182327,0.860802161817673
45,0.145064861120104,0.854935138879896,0.144366167239923,0.855633832760077,0.166399557498208,0.833600442501792,0.166447672195497,0.833552327804503,0.171353602884657,0.828646397115343,0.170899864180513,0.829100135819487
55,0.172190339865878,0.827809660134122,0.17248719029226,0.82751280970774,0.197043215234058,0.802956784765942,0.198876795197736,0.801123204802264,0.202893218018492,0.797106781981508,0.202807294818523,0.797192705181477
65,0.19521361892803,0.80478638107197,0.194475055777507,0.805524944222493,0.220973519146231,0.779026480853769,0.221422239001227,0.778577760998773,0.227177816683813,0.772822183316187,0.226393171087066,0.773606828912934
75,0.23632039711336,0.76367960288664,0.23655165683311,0.76344834316689,0.267412825443572,0.732587174556428,0.267680728730045,0.732319271269955,0.273891248515142,0.726108751484858,0.27430322124746,0.72569677875254
85,0.303080261498028,0.696919738501972,0.301335997311992,0.698664002688008,0.337699606119448,0.662300393880552,0.336310746623893,0.663689253376107,0.3444874789902,0.6555125210098,0.343705932822937,0.656294067177063
95,0.41741734349826,0.58258265650174,0.41768123046037,0.58231876953963,0.457345502891528,0.542654497108472,0.457965310288511,0.542034689711489,0.464391178571639,0.535608821428361,0.466083029041504,0.533916970958496
