EmissionDecile,RefWithRecircMean,RefWithRecircStd,RefNoRecircMean,RefNoRecircStd,IntEEWithRecircMean,IntEEWithRecircStd,IntEENoRecircMean,IntEENoRecircStd,OptEEWithRecircMean,OptEEWithRecircStd,OptEENoRecircMean,OptEENoRecircStd
5,4.62225122971872,1.18667517452988,5.18643024512501,1.12344883463062,4.31058532716984,1.1241295034599,4.89345494201495,1.05731842480585,4.132491247274,1.07838828584088,4.77890858481479,1.00987183357272
15,5.05988145004396,1.14259345545912,5.68072115095599,1.09152367179534,4.80799905771982,1.10097201349618,5.51593615958054,1.02865648257744,4.70445596369801,1.08372073747947,5.43301790993461,1.00420998488451
25,5.33303905121585,1.15718446217841,5.99353489864885,1.08712022947817,5.08628380286818,1.10474752128727,5.89003150935018,1.01060955906478,5.03689417054777,1.0653986137684,5.83319437241629,0.96885337488322
35,5.59291837164673,1.14383475322835,6.26045693603222,1.05298259888686,5.42558195960019,1.06509861878039,6.22098817766386,0.976024356700829,5.3506972901974,1.07257606503404,6.22690296360261,0.939052153620911
45,5.9539628325219,1.1403999982544,6.70893828241079,1.07764199460935,5.88003036985862,1.08784406703747,6.7579790592778,0.995312128060533,5.84206850784531,1.0905524674732,6.77490176738767,0.948601443012519
55,6.40434631386455,1.12101193740218,7.2037720518107,1.06135654595624,6.38255325262373,1.10155134310134,7.3080380228273,0.972510610114586,6.36809979752009,1.07870311700812,7.39255943474791,0.923055703981102
65,6.72255201504868,1.12642965514515,7.60339875180818,1.05685799220337,6.81337500263841,1.09596055494184,7.85108678123151,0.995418622175948,6.83927822468014,1.08577594117336,7.96883118020271,0.939218539303212
75,7.48174091191892,1.13261181108615,8.43388238816048,1.10873719460014,7.70126508773371,1.12792161172542,8.86278438924366,1.03200866929992,7.77901389694617,1.11765916139084,9.01368321290216,0.985839851695968
85,8.77394898231852,1.18469876148726,9.95106356094976,1.29584525933878,9.26131531761711,1.19168964625982,10.6747827225332,1.22831370434395,9.46112019011006,1.22953332567913,10.9994261643469,1.16721477355381
95,11.8339204698058,1.46444371679562,13.3797712664967,1.79093139421104,12.8628460096012,1.52777549248505,14.9217362791711,1.87790846297567,13.3007781206009,1.62582720292596,15.4997371789806,1.75712185749671
